countrycode,country,year,rgdpe,emp,hc,rkna
SGP,"Singapore",1993,79837.1484375,1.68577396869659,2.24642753601074,430153.71875
SGP,"Singapore",1994,88224.609375,1.76218831539154,2.3171763420105,464383.84375
SGP,"Singapore",1995,98084.6875,1.85595834255219,2.39015340805054,504138.90625
SGP,"Singapore",1996,106269.59375,1.92339420318604,2.46764349937439,557309.75
SGP,"Singapore",1997,120663.359375,2.01158976554871,2.54764604568481,615680.125
SGP,"Singapore",1998,119315.59375,2.06046557426453,2.6070761680603,667339.8125
SGP,"Singapore",1999,130466.7109375,2.05279445648193,2.66368556022644,713676.25
SGP,"Singapore",2000,157298.15625,2.01998329162598,2.72152423858643,767790
SGP,"Singapore",2001,156937.28125,2.18777465820313,2.70760941505432,816479.5
SGP,"Singapore",2002,170039.46875,2.14784598350525,2.69376587867737,853098.0625
SGP,"Singapore",2003,180141.78125,2.13966822624207,2.67999315261841,884220.5
SGP,"Singapore",2004,219280.40625,2.17690324783325,2.6662905216217,921810.875
SGP,"Singapore",2005,254400.09375,2.2124605178833,2.65265846252441,960339.9375
SGP,"Singapore",2006,275413.59375,2.4532105922699,2.72960352897644,1005472.1875
SGP,"Singapore",2007,301431.9375,2.62143039703369,2.80878090858459,1060570.875
SGP,"Singapore",2008,296063.96875,2.81116342544556,2.89025473594666,1123382.125
SGP,"Singapore",2009,297736.90625,2.86505031585693,2.97409200668335,1188915.125
SGP,"Singapore",2010,351164.9375,3.01095199584961,3.0603609085083,1259760.75
SGP,"Singapore",2011,372640.4375,3.1160101890564,3.16169428825378,1333272.75
SGP,"Singapore",2012,384854.0625,3.24168682098389,3.27118372917175,1415128
SGP,"Singapore",2013,393179.40625,3.31894731521606,3.3896632194519,1494212.5
SGP,"Singapore",2014,399684.5,3.40238308906555,3.51807260513306,1567020.625
THA,"Thailand",1950,21355.873046875,9.07588291168213,1.2117041349411,83038.2109375
THA,"Thailand",1951,21294.546875,9.40147113800049,1.2247679233551,83664.21875
THA,"Thailand",1952,20861.587890625,9.73873901367188,1.23797249794006,84538.3828125
THA,"Thailand",1953,19537.14453125,10.0881052017212,1.25131940841675,85497.1875
THA,"Thailand",1954,21091.716796875,10.4500064849854,1.26481020450592,86663.328125
THA,"Thailand",1955,20261.783203125,10.8248891830444,1.27844655513763,88349.4609375
THA,"Thailand",1956,21250.34765625,11.2132196426392,1.2917343378067,89463.984375
THA,"Thailand",1957,23868.95703125,11.6154832839966,1.30516028404236,92091.0234375
THA,"Thailand",1958,24572.802734375,12.0321760177612,1.31872570514679,94795.546875
THA,"Thailand",1959,27337.978515625,12.4638166427612,1.33243215084076,98679.1171875
THA,"Thailand",1960,30600.416015625,12.910943031311,1.34628105163574,103287.28125
THA,"Thailand",1961,32700.888671875,13.248649597168,1.35476744174957,107967.140625
THA,"Thailand",1962,34198.80859375,13.5981597900391,1.36330735683441,115000.328125
THA,"Thailand",1963,36453.46484375,13.9476718902588,1.37190103530884,124605.4296875
THA,"Thailand",1964,39767.5546875,14.2991285324097,1.38054895401001,134071.015625
THA,"Thailand",1965,44104.20703125,14.6462297439575,1.38925135135651,144702.640625
THA,"Thailand",1966,50360.7109375,14.9890356063843,1.3980085849762,160107.359375
THA,"Thailand",1967,52363.48046875,15.3299779891968,1.40682101249695,176575.28125
THA,"Thailand",1968,55814.1484375,15.6761379241943,1.41568899154663,194784.46875
THA,"Thailand",1969,61522.33203125,16.0309867858887,1.42461287975311,216978.421875
THA,"Thailand",1970,83239.9375,16.4017677307129,1.43359303474426,244905.765625
THA,"Thailand",1971,86392.296875,16.5015869140625,1.44579863548279,268661.25
THA,"Thailand",1972,91095.9140625,15.9704036712646,1.45810806751251,290475.28125
THA,"Thailand",1973,101774.1875,16.6970653533936,1.47052240371704,314893.75
THA,"Thailand",1974,103421.9765625,15.3842821121216,1.48304235935211,340369.65625
THA,"Thailand",1975,106668.21875,16.2004318237305,1.49566888809204,362370.25
THA,"Thailand",1976,117459.5625,16.1749706268311,1.50840294361115,387564.5
THA,"Thailand",1977,128553.1640625,18.2477397918701,1.52124536037445,425067.28125
THA,"Thailand",1978,141698.09375,19.3714942932129,1.53419721126556,465167.34375
